NODE_ID,PSGC,BARANGAY,MUNICIPALITY,MUNICIPALITY_CODE,PROVINCE,PROVINCE_CODE,AREA_KM2,CENTROID_LON,CENTROID_LAT,BOUNDARY_NAME_NORMALIZED,LOCALITY_NAME_NORMALIZED,CALIBRATION_STATUS,OUTBREAK_CASE_THRESHOLD,HISTORICAL_OR_PRIOR_MONTHLY_MEAN,HISTORICAL_OR_PRIOR_MONTHLY_STD,ANNUAL_GROWTH_RATE,NEIGHBOR_COUNT
77,1206311016,San Jose,Norala,1206311000,South Cotabato,1206300000,8.761454,124.63058463795858,6.555783496000031,SAN JOSE,NORALA,CALIBRATED_SOUTH_COTABATO,3.0,1.2041147602573323,1.0203426204021062,0.013374222963856685,4
78,1206311017,San Miguel,Norala,1206311000,South Cotabato,1206300000,13.301477,124.71751415185115,6.494771249298726,SAN MIGUEL,NORALA,CALIBRATED_SOUTH_COTABATO,4.0,1.3332946061334103,1.1298040347058127,0.013321115116405739,5
79,1206311020,Simsiman,Norala,1206311000,South Cotabato,1206300000,7.291027,124.6561082727794,6.55782712900006,SIMSIMAN,NORALA,CALIBRATED_SOUTH_COTABATO,3.0,1.1740773498018593,0.9948617451919877,0.013415078243302108,5
80,1206311021,Tinago,Norala,1206311000,South Cotabato,1206300000,18.986089,124.70569190734453,6.5590758094999915,TINAGO,NORALA,CALIBRATED_SOUTH_COTABATO,3.0,0.9430311519854233,0.7987969567201595,0.013830060551956524,7
81,1206311022,"Benigno Aquino, Jr.",Norala,1206311000,South Cotabato,1206300000,2.955117,124.68794242512868,6.532469239500046,BENIGNO AQUINO JR,NORALA,CALIBRATED_SOUTH_COTABATO,3.0,1.151047621501998,0.975393058902949,0.01334090121980872,4
82,1206312001,Bentung,Polomolok,1206312000,South Cotabato,1206300000,5.115479,125.00689990291576,6.242678484000037,BENTUNG,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,2.0,1.068818119478773,0.5100548968286138,0.03,6
83,1206312002,Crossing Palkan,Polomolok,1206312000,South Cotabato,1206300000,10.992029,125.0080711309667,6.269940981500042,CROSSING PALKAN,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,3.0,1.5661804288468035,0.7499670639633201,0.03,8
84,1206312003,Glamang,Polomolok,1206312000,South Cotabato,1206300000,16.004755,125.08222204399543,6.165571528000071,GLAMANG,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,4.0,2.040616382298006,0.9690341124749766,0.03,5
85,1206312004,Kinilis,Polomolok,1206312000,South Cotabato,1206300000,29.344488,125.07901121794933,6.33461526800005,KINILIS,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,3.0,1.4407814936993575,0.6950672021721108,0.03,8
86,1206312005,Klinan 6,Polomolok,1206312000,South Cotabato,1206300000,8.749413,125.12580876043376,6.198800014500051,KLINAN 6,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,3.0,1.4537342798613229,0.696822863073395,0.03,3
