PSGC,PROVINCE,MUNICIPALITY,BARANGAY,CALIBRATION_STATUS,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,MEAN_POSTERIOR_CASES,MAX_POSTERIOR_CASES,AUTOMATIC_ALERT_MONTHS,MAX_HOTSPOT_Z_SCORE
1206302020,South Cotabato,Banga,Rizal Poblacion,CALIBRATED_SOUTH_COTABATO,0.252160,0.352000,1.704587,2.124000,0,1.138254
1206312006,South Cotabato,Polomolok,Koronadal Proper,CALIBRATED_SOUTH_COTABATO,0.264253,0.352000,1.749600,2.064000,0,1.343374
1206316005,South Cotabato,T'Boli,Laconon,CALIBRATED_SOUTH_COTABATO,0.271547,0.352000,1.041040,1.296000,0,-0.421211
1206319007,South Cotabato,Lake Sebu,Lamcade,CALIBRATED_SOUTH_COTABATO,0.263040,0.352000,1.011480,1.260000,0,-0.360647
1206319010,South Cotabato,Lake Sebu,Lamlahak,CALIBRATED_SOUTH_COTABATO,0.236653,0.348000,0.926253,1.172000,0,-0.551433
1206316022,South Cotabato,T'Boli,Talufo,CALIBRATED_SOUTH_COTABATO,0.245867,0.344000,0.955120,1.196000,0,-0.020717
1206319003,South Cotabato,Lake Sebu,Halilan,CALIBRATED_SOUTH_COTABATO,0.238853,0.340000,0.939413,1.236000,0,-0.159781
1206314008,South Cotabato,Tampakan,Buto,CALIBRATED_SOUTH_COTABATO,0.253480,0.336000,0.978267,1.252000,0,-0.145918
1206319006,South Cotabato,Lake Sebu,Lake Lahit,CALIBRATED_SOUTH_COTABATO,0.262093,0.336000,1.005440,1.236000,0,-0.273373
1206319012,South Cotabato,Lake Sebu,Luhib,CALIBRATED_SOUTH_COTABATO,0.264387,0.332000,1.011053,1.240000,0,0.962622
1206316027,South Cotabato,T'Boli,Dlanag,CALIBRATED_SOUTH_COTABATO,0.248813,0.328000,0.965000,1.168000,0,-0.219994
1206302005,South Cotabato,Banga,Cinco,CALIBRATED_SOUTH_COTABATO,0.238840,0.312000,1.633560,1.916000,0,2.866417
1206302014,South Cotabato,Banga,Liwanay,CALIBRATED_SOUTH_COTABATO,0.206747,0.312000,1.483747,1.860000,0,2.608077
1206319017,South Cotabato,Lake Sebu,Takunel,CALIBRATED_SOUTH_COTABATO,0.240413,0.312000,0.937427,1.128000,0,-0.422223
1206302016,South Cotabato,Banga,Punong Grande,CALIBRATED_SOUTH_COTABATO,0.217613,0.300000,1.535387,1.892000,0,0.768707
1206302019,South Cotabato,Banga,Rizal,CALIBRATED_SOUTH_COTABATO,0.226040,0.296000,1.569440,2.024000,0,0.754516
1206316028,South Cotabato,T'Boli,Lemsnolon,CALIBRATED_SOUTH_COTABATO,0.193587,0.296000,1.413893,1.776000,0,1.110421
1206302011,South Cotabato,Banga,Lamba,CALIBRATED_SOUTH_COTABATO,0.217387,0.284000,1.523320,1.804000,0,1.207753
1206302002,South Cotabato,Banga,Benitez,CALIBRATED_SOUTH_COTABATO,0.201747,0.284000,1.452040,1.796000,0,0.920911
1206316014,South Cotabato,T'Boli,Lambangan,CALIBRATED_SOUTH_COTABATO,0.182227,0.284000,1.365907,1.620000,0,0.163190
1206302021,South Cotabato,Banga,San Jose,CALIBRATED_SOUTH_COTABATO,0.214627,0.280000,1.511360,1.788000,0,1.157405
1206314005,South Cotabato,Tampakan,Maltana,CALIBRATED_SOUTH_COTABATO,0.191200,0.280000,1.405573,1.788000,0,0.951842
