MUNICIPALITY,BARANGAY,MATCH_STATUS,MATCH_METHOD,MATCH_SCORE,NODE_ID,PSGC,BOUNDARY_MUNICIPALITY,BOUNDARY_BARANGAY
STO. NINO,SAN VICENTE,MATCHED,EXACT_NORMALIZED,1.0,112.0,1206318008,Santo Niño,San Vicente
STO. NINO,TERESITA,MATCHED,EXACT_NORMALIZED,1.0,113.0,1206318009,Santo Niño,Teresita
SURALLAH,BUENAVISTA,MATCHED,EXACT_NORMALIZED,1.0,115.0,1206313002,Surallah,Buenavista
SURALLAH,CANAHAY,MATCHED,EXACT_NORMALIZED,1.0,120.0,1206313008,Surallah,Canahay
SURALLAH,CENTRALA,MATCHED,EXACT_NORMALIZED,1.0,116.0,1206313003,Surallah,Centrala
SURALLAH,COLONGULO,MATCHED,EXACT_NORMALIZED,1.0,117.0,1206313004,Surallah,Colongulo
SURALLAH,DAJAY,MATCHED,EXACT_NORMALIZED,1.0,118.0,1206313005,Surallah,Dajay
SURALLAH,DUENGAS,MATCHED,EXACT_NORMALIZED,1.0,119.0,1206313006,Surallah,Duengas
SURALLAH,LAMBONTONG,MATCHED,EXACT_NORMALIZED,1.0,121.0,1206313014,Surallah,Lambontong
SURALLAH,LAMIAN,MATCHED,EXACT_NORMALIZED,1.0,122.0,1206313017,Surallah,Lamian
SURALLAH,LAMSUGOD,MATCHED,EXACT_NORMALIZED,1.0,123.0,1206313018,Surallah,Lamsugod
SURALLAH,LIBERTAD POB.,MATCHED,EXACT_NORMALIZED,1.0,124.0,1206313019,Surallah,Libertad
SURALLAH,LITTLE BAGUIO,MATCHED,EXACT_NORMALIZED,1.0,125.0,1206313020,Surallah,Little Baguio
SURALLAH,MOLOY,MATCHED,EXACT_NORMALIZED,1.0,126.0,1206313023,Surallah,Moloy
SURALLAH,NACI,MATCHED,EXACT_NORMALIZED,1.0,127.0,1206313024,Surallah,Naci
SURALLAH,TALAHIK,MATCHED,EXACT_NORMALIZED,1.0,128.0,1206313028,Surallah,Talahik
SURALLAH,TUBIALA,MATCHED,EXACT_NORMALIZED,1.0,129.0,1206313030,Surallah,Tubiala
SURALLAH,UPPER SEPAKA,MATCHED,EXACT_NORMALIZED,1.0,130.0,1206313031,Surallah,Upper Sepaka
SURALLAH,VETERANS,MATCHED,EXACT_NORMALIZED,1.0,131.0,1206313032,Surallah,Veterans
TAMPAKAN,ALBAGAN,MATCHED,EXACT_NORMALIZED,1.0,157.0,1206314001,Tampakan,Albagan
TAMPAKAN,BUTO,MATCHED,EXACT_NORMALIZED,1.0,164.0,1206314008,Tampakan,Buto
TAMPAKAN,DANLAG,MATCHED,EXACT_NORMALIZED,1.0,168.0,1206314012,Tampakan,Danlag
TAMPAKAN,KIPALBIG,MATCHED,EXACT_NORMALIZED,1.0,158.0,1206314002,Tampakan,Kipalbig
TAMPAKAN,LAMBAYONG,MATCHED,EXACT_NORMALIZED,1.0,159.0,1206314003,Tampakan,Lambayong
TAMPAKAN,LAMPITAK,MATCHED,EXACT_NORMALIZED,1.0,165.0,1206314009,Tampakan,Lampitak
TAMPAKAN,LIBERTY,MATCHED,EXACT_NORMALIZED,1.0,160.0,1206314004,Tampakan,Liberty
TAMPAKAN,MALTANA,MATCHED,EXACT_NORMALIZED,1.0,161.0,1206314005,Tampakan,Maltana
TAMPAKAN,PALO,MATCHED,EXACT_NORMALIZED,1.0,166.0,1206314010,Tampakan,Palo
TAMPAKAN,POBLACION,MATCHED,EXACT_NORMALIZED,1.0,162.0,1206314006,Tampakan,Poblacion
TAMPAKAN,PULA-BATO,MATCHED,EXACT_NORMALIZED,1.0,167.0,1206314011,Tampakan,Pula-bato
TAMPAKAN,SAN ISIDRO,MATCHED,EXACT_NORMALIZED,1.0,169.0,1206314013,Tampakan,San Isidro
TAMPAKAN,SANTA CRUZ,MATCHED,EXACT_NORMALIZED,1.0,170.0,1206314014,Tampakan,Santa Cruz
TAMPAKAN,TABLU,MATCHED,EXACT_NORMALIZED,1.0,163.0,1206314007,Tampakan,Tablu
TBOLI,AFLEK,MATCHED,EXACT_NORMALIZED,1.0,148.0,1206316024,T'Boli,Aflek
TBOLI,AFUS,MATCHED,EXACT_NORMALIZED,1.0,141.0,1206316017,T'Boli,Afus
TBOLI,BASAG,MATCHED,EXACT_NORMALIZED,1.0,132.0,1206316001,T'Boli,Basag
TBOLI,DATAL BOB,MATCHED,EXACT_NORMALIZED,1.0,149.0,1206316025,T'Boli,Datal Bob
TBOLI,DESAWO,MATCHED,EXACT_NORMALIZED,1.0,150.0,1206316026,T'Boli,Desawo
TBOLI,DLANAG,MATCHED,EXACT_NORMALIZED,1.0,151.0,1206316027,T'Boli,Dlanag
TBOLI,EDWARDS POB.,MATCHED,EXACT_NORMALIZED,1.0,133.0,1206316002,T'Boli,Edwards
TBOLI,KEMATU,MATCHED,EXACT_NORMALIZED,1.0,134.0,1206316004,T'Boli,Kematu
TBOLI,LACONON,MATCHED,EXACT_NORMALIZED,1.0,135.0,1206316005,T'Boli,Laconon
TBOLI,LAMBANGAN,MATCHED,EXACT_NORMALIZED,1.0,139.0,1206316014,T'Boli,Lambangan
TBOLI,LAMBULING,MATCHED,EXACT_NORMALIZED,1.0,142.0,1206316018,T'Boli,Lambuling
TBOLI,LAMHAKO,MATCHED,EXACT_NORMALIZED,1.0,143.0,1206316019,T'Boli,Lamhako
TBOLI,LAMSALOME,MATCHED,EXACT_NORMALIZED,1.0,136.0,1206316008,T'Boli,Lamsalome
TBOLI,LEMSNOLON,MATCHED,EXACT_NORMALIZED,1.0,152.0,1206316028,T'Boli,Lemsnolon
TBOLI,MAAN,MATCHED,EXACT_NORMALIZED,1.0,140.0,1206316016,T'Boli,Maan
TBOLI,MALUGONG,MATCHED,EXACT_NORMALIZED,1.0,153.0,1206316029,T'Boli,Malugong
TBOLI,MONGOCAYO,MATCHED,EXACT_NORMALIZED,1.0,154.0,1206316030,T'Boli,Mongocayo
TBOLI,NEW DUMANGAS,MATCHED,EXACT_NORMALIZED,1.0,137.0,1206316011,T'Boli,New Dumangas
TBOLI,POBLACION,MATCHED,EXACT_NORMALIZED,1.0,144.0,1206316020,T'Boli,Poblacion
TBOLI,SALACAFE,MATCHED,EXACT_NORMALIZED,1.0,155.0,1206316031,T'Boli,Salacafe
TBOLI,SINOLON,MATCHED,EXACT_NORMALIZED,1.0,138.0,1206316012,T'Boli,Sinolon
TBOLI,T'BOLOK,MATCHED,EXACT_NORMALIZED,1.0,156.0,1206316032,T'Boli,T'bolok
TBOLI,TALCON,MATCHED,EXACT_NORMALIZED,1.0,145.0,1206316021,T'Boli,Talcon
TBOLI,TALUFO,MATCHED,EXACT_NORMALIZED,1.0,146.0,1206316022,T'Boli,Talufo
TBOLI,TUDOK,MATCHED,EXACT_NORMALIZED,1.0,147.0,1206316023,T'Boli,Tudok
TUPI,ACMONAN,MATCHED,EXACT_NORMALIZED,1.0,184.0,1206317001,Tupi,Acmonan
TUPI,BOLOLMALA,MATCHED,EXACT_NORMALIZED,1.0,185.0,1206317002,Tupi,Bololmala
TUPI,BUNAO,MATCHED,EXACT_NORMALIZED,1.0,186.0,1206317003,Tupi,Bunao
TUPI,CEBUANO,MATCHED,EXACT_NORMALIZED,1.0,187.0,1206317004,Tupi,Cebuano
TUPI,CROSSING RUBBER,MATCHED,EXACT_NORMALIZED,1.0,188.0,1206317005,Tupi,Crossing Rubber
TUPI,KABLON,MATCHED,EXACT_NORMALIZED,1.0,189.0,1206317006,Tupi,Kablon
TUPI,KALKAM,MATCHED,EXACT_NORMALIZED,1.0,190.0,1206317007,Tupi,Kalkam
TUPI,LINAN,MATCHED,EXACT_NORMALIZED,1.0,191.0,1206317009,Tupi,Linan
TUPI,LUNEN,MATCHED,EXACT_NORMALIZED,1.0,192.0,1206317010,Tupi,Lunen
TUPI,MIASONG,MATCHED,EXACT_NORMALIZED,1.0,193.0,1206317011,Tupi,Miasong
TUPI,PALIAN,MATCHED,EXACT_NORMALIZED,1.0,194.0,1206317012,Tupi,Palian
TUPI,POBLACION,MATCHED,EXACT_NORMALIZED,1.0,195.0,1206317013,Tupi,Poblacion
TUPI,POLONULING,MATCHED,EXACT_NORMALIZED,1.0,196.0,1206317014,Tupi,Polonuling
TUPI,SIMBO,MATCHED,EXACT_NORMALIZED,1.0,197.0,1206317015,Tupi,Simbo
TUPI,TUBENG,MATCHED,EXACT_NORMALIZED,1.0,198.0,1206317016,Tupi,Tubeng
