YEAR,MUNICIPALITY,MUNICIPALITY_CODE,POSTERIOR_MEAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,AUTOMATIC_OUTBREAK_ALERT_MONTHS,MAX_CRITICAL_BARANGAYS
2038,Banga,1206302000,374.748000,0.000000,1353.625000,0.220667,0.384000,0,0
2038,City of Koronadal,1206306000,108.616000,0.000000,651.800000,0.064593,0.164000,0,0
2038,Lake Sebu,1206319000,264.680000,0.000000,994.450000,0.281035,0.396000,1,0
2038,Norala,1206311000,196.612000,0.000000,743.700000,0.126595,0.192000,0,0
2038,Polomolok,1206312000,697.300000,3.000000,2217.475000,0.340855,0.496000,116,0
2038,Santo Niño,1206318000,152.944000,0.000000,563.275000,0.181567,0.328000,0,0
2038,Surallah,1206313000,483.784000,0.000000,1572.200000,0.187078,0.324000,65,0
2038,T'Boli,1206316000,380.712000,0.000000,1407.400000,0.291987,0.432000,0,0
2038,Tampakan,1206314000,209.520000,0.000000,778.050000,0.186952,0.344000,0,0
2038,Tantangan,1206315000,53.248000,0.000000,327.175000,0.081974,0.192000,0,0
2038,Tupi,1206317000,206.472000,0.000000,786.375000,0.027378,0.184000,0,0
2039,Banga,1206302000,370.680000,0.000000,1347.650000,0.217848,0.376000,0,0
2039,City of Koronadal,1206306000,109.232000,0.000000,654.700000,0.065259,0.152000,0,0
2039,Lake Sebu,1206319000,264.060000,0.000000,1007.325000,0.279404,0.400000,0,0
2039,Norala,1206311000,199.772000,0.000000,764.150000,0.132881,0.212000,0,0
2039,Polomolok,1206312000,691.856000,2.675000,2219.050000,0.338188,0.480000,103,0
2039,Santo Niño,1206318000,152.568000,0.000000,569.825000,0.180867,0.360000,0,0
2039,Surallah,1206313000,488.580000,0.000000,1587.325000,0.190765,0.316000,65,0
2039,T'Boli,1206316000,378.904000,0.000000,1404.450000,0.291533,0.420000,0,0
2039,Tampakan,1206314000,207.800000,0.000000,776.925000,0.187690,0.380000,0,0
2039,Tantangan,1206315000,51.508000,0.000000,309.500000,0.078256,0.188000,0,0
2039,Tupi,1206317000,211.812000,0.000000,801.600000,0.027333,0.148000,0,0
