DATE,RED_CLUSTER_ID,CLUSTER_SIZE,NEW_CLUSTER_ONSET,LIKELY_ORIGIN_PSGC,LIKELY_ORIGIN_MUNICIPALITY,LIKELY_ORIGIN_BARANGAY,MEMBER_PSGC_LIST,MEMBER_NAME_LIST,MUNICIPALITY_LIST,PROJECTED_CLUSTER_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,DOMINANT_FACTOR_MODE
2032-05-01,1,5,False,1206312014,Polomolok,Poblacion,1206312024; 1206312007; 1206312025; 1206312013; 1206312014,Cannery Site (Polomolok); Lam-Caliaf (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok),Polomolok,20.544000,0.297600,0.488000,Seasonal baseline
2032-06-01,1,11,False,1206312024,Polomolok,Cannery Site,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312018; 1206312019; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 7 (Polomolok); Silway 8 (Polomolok); Upper Klinan (Polomolok),Polomolok,35.368000,0.331636,0.448000,Seasonal baseline
2032-06-01,2,6,True,1206313023,Surallah,Moloy,1206313008; 1206313003; 1206313004; 1206313019; 1206313020; 1206313023,Canahay (Surallah); Centrala (Surallah); Colongulo (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah),Surallah,16.260000,0.150000,0.208000,Seasonal baseline
2032-07-01,1,10,False,1206312025,Polomolok,Pagalungan,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312019; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 8 (Polomolok); Upper Klinan (Polomolok),Polomolok,33.776000,0.335200,0.424000,Seasonal baseline
2032-07-01,2,9,False,1206313003,Surallah,Centrala,1206313008; 1206313003; 1206313004; 1206313018; 1206313019; 1206313020; 1206313023; 1206313024; 1206313032,Canahay (Surallah); Centrala (Surallah); Colongulo (Surallah); Lamsugod (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah); Naci (Surallah); Veterans (Surallah),Surallah,23.248000,0.160889,0.268000,Seasonal baseline
2032-08-01,1,10,False,1206312014,Polomolok,Poblacion,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312019; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 8 (Polomolok); Upper Klinan (Polomolok),Polomolok,34.200000,0.345200,0.460000,Seasonal baseline
2032-08-01,2,10,False,1206313003,Surallah,Centrala,1206313003; 1206313004; 1206313006; 1206313018; 1206313019; 1206313020; 1206313023; 1206313028; 1206313030; 1206313032,Centrala (Surallah); Colongulo (Surallah); Duengas (Surallah); Lamsugod (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah); Talahik (Surallah); Tubiala (Surallah); Veterans (Surallah),Surallah,26.460000,0.194400,0.264000,Seasonal baseline
2032-09-01,1,9,False,1206312017,Polomolok,Rubber,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Upper Klinan (Polomolok),Polomolok,32.304000,0.350667,0.488000,Seasonal baseline
2032-09-01,2,5,False,1206313019,Surallah,Libertad,1206313003; 1206313005; 1206313019; 1206313023; 1206313028,Centrala (Surallah); Dajay (Surallah); Libertad (Surallah); Moloy (Surallah); Talahik (Surallah),Surallah,14.080000,0.202400,0.256000,Seasonal baseline
2032-10-01,1,10,False,1206312025,Polomolok,Pagalungan,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312019; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 8 (Polomolok); Upper Klinan (Polomolok),Polomolok,33.408000,0.335600,0.472000,Seasonal baseline
2032-10-01,2,12,False,1206313023,Surallah,Moloy,1206313008; 1206313003; 1206313004; 1206313006; 1206313018; 1206313019; 1206313020; 1206313023; 1206313024; 1206313028; 1206313031; 1206313032,Canahay (Surallah); Centrala (Surallah); Colongulo (Surallah); Duengas (Surallah); Lamsugod (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah); Naci (Surallah); Talahik (Surallah); Upper Sepaka (Surallah); Veterans (Surallah),Surallah,31.608000,0.186333,0.260000,Seasonal baseline
2032-11-01,1,10,False,1206312014,Polomolok,Poblacion,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312019; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 8 (Polomolok); Upper Klinan (Polomolok),Polomolok,34.044000,0.340400,0.452000,Seasonal baseline
2032-11-01,2,10,False,1206313023,Surallah,Moloy,1206313008; 1206313003; 1206313004; 1206313006; 1206313018; 1206313019; 1206313020; 1206313023; 1206313028; 1206313030,Canahay (Surallah); Centrala (Surallah); Colongulo (Surallah); Duengas (Surallah); Lamsugod (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah); Talahik (Surallah); Tubiala (Surallah),Surallah,27.360000,0.204400,0.268000,Seasonal baseline
2032-12-01,1,9,False,1206312017,Polomolok,Rubber,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Upper Klinan (Polomolok),Polomolok,31.680000,0.346667,0.480000,Seasonal baseline
2032-12-01,2,8,False,1206313019,Surallah,Libertad,1206313008; 1206313003; 1206313004; 1206313005; 1206313019; 1206313020; 1206313023; 1206313028,Canahay (Surallah); Centrala (Surallah); Colongulo (Surallah); Dajay (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah); Talahik (Surallah),Surallah,22.032000,0.192000,0.260000,Seasonal baseline
2033-01-01,1,10,False,1206312024,Polomolok,Cannery Site,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312019; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 8 (Polomolok); Upper Klinan (Polomolok),Polomolok,33.276000,0.333200,0.476000,Seasonal baseline
2033-02-01,1,10,False,1206312025,Polomolok,Pagalungan,1206312024; 1206312003; 1206312007; 1206312009; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Lumakil (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Upper Klinan (Polomolok),Polomolok,32.780000,0.331200,0.456000,Seasonal baseline
2033-02-01,2,5,True,1206313003,Surallah,Centrala,1206313003; 1206313004; 1206313006; 1206313019; 1206313023,Centrala (Surallah); Colongulo (Surallah); Duengas (Surallah); Libertad (Surallah); Moloy (Surallah),Surallah,12.888000,0.142400,0.240000,Seasonal baseline
2033-03-01,1,10,False,1206312017,Polomolok,Rubber,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312019; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 8 (Polomolok); Upper Klinan (Polomolok),Polomolok,33.116000,0.327600,0.440000,Seasonal baseline
2033-03-01,2,6,False,1206313023,Surallah,Moloy,1206313003; 1206313004; 1206313006; 1206313019; 1206313023; 1206313028,Centrala (Surallah); Colongulo (Surallah); Duengas (Surallah); Libertad (Surallah); Moloy (Surallah); Talahik (Surallah),Surallah,15.312000,0.158000,0.228000,Seasonal baseline
2033-04-01,1,10,False,1206312014,Polomolok,Poblacion,1206312024; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312018; 1206312022,Cannery Site (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 7 (Polomolok); Upper Klinan (Polomolok),Polomolok,32.668000,0.320800,0.428000,Seasonal baseline
2033-04-01,2,5,False,1206313019,Surallah,Libertad,1206313003; 1206313004; 1206313019; 1206313020; 1206313023,Centrala (Surallah); Colongulo (Surallah); Libertad (Surallah); Little Baguio (Surallah); Moloy (Surallah),Surallah,13.052000,0.145600,0.192000,Seasonal baseline
2033-05-01,1,11,False,1206312024,Polomolok,Cannery Site,1206312024; 1206312002; 1206312003; 1206312007; 1206312016; 1206312025; 1206312013; 1206312014; 1206312017; 1206312019; 1206312022,Cannery Site (Polomolok); Crossing Palkan (Polomolok); Glamang (Polomolok); Lam-Caliaf (Polomolok); Magsaysay (Polomolok); Pagalungan (Polomolok); Palkan (Polomolok); Poblacion (Polomolok); Rubber (Polomolok); Silway 8 (Polomolok); Upper Klinan (Polomolok),Polomolok,35.876000,0.335273,0.464000,Seasonal baseline
