DATE,MUNICIPALITY,MUNICIPALITY_CODE,POSTERIOR_MEAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,LOW_ALERT_COUNT,MODERATE_ALERT_COUNT,HIGH_ALERT_COUNT,CRITICAL_ALERT_COUNT,AUTOMATIC_OUTBREAK_ALERT_COUNT,INDIVIDUAL_OUTBREAK_ALERT_COUNT,PROBABILISTIC_OUTBREAK_ALERT_COUNT,RED_CLUSTER_OUTBREAK_ALERT_COUNT,RED_CLUSTER_LIKELY_ORIGIN_COUNT,RED_CASE_ZONE_COUNT,NEW_AUTOMATIC_OUTBREAK_ONSET_COUNT,NEW_HIGH_RISK_ONSET_COUNT,MEAN_HOTSPOT_Z_SCORE,MAX_HOTSPOT_Z_SCORE,BARANGAY_COUNT,CALIBRATED_BARANGAY_COUNT
2026-07-01,Banga,1206302000,27.684000,0.000000,93.425000,0.171091,0.284000,22,0,0,0,0,0,0,0,0,0,0,0,0.087973,2.192580,22,22
2026-07-01,City of Koronadal,1206306000,8.724000,0.000000,55.325000,0.059556,0.172000,27,0,0,0,0,0,0,0,0,0,0,0,-2.821980,-1.424619,27,27
2026-07-01,Lake Sebu,1206319000,20.608000,0.000000,73.550000,0.257684,0.376000,14,5,0,0,0,0,0,0,0,0,0,0,-0.225687,1.793259,19,19
2026-07-01,Norala,1206311000,15.848000,0.000000,55.775000,0.109143,0.140000,14,0,0,0,0,0,0,0,0,0,0,0,-0.365823,0.155162,14,14
2026-07-01,Polomolok,1206312000,53.192000,1.225000,152.325000,0.306261,0.424000,10,13,0,0,6,0,0,6,1,7,0,0,3.457092,7.035110,23,23
2026-07-01,Santo Niño,1206318000,12.336000,0.000000,42.550000,0.166000,0.280000,10,0,0,0,0,0,0,0,0,0,0,0,0.010902,0.150958,10,10
2026-07-01,Surallah,1206313000,37.592000,0.000000,108.100000,0.140941,0.208000,17,0,0,0,0,0,0,0,0,6,0,0,2.364521,3.245638,17,17
2026-07-01,T'Boli,1206316000,29.540000,0.000000,101.325000,0.272640,0.424000,15,10,0,0,0,0,0,0,0,0,0,0,-0.015831,1.457672,25,25
2026-07-01,Tampakan,1206314000,16.788000,0.000000,56.775000,0.167714,0.292000,14,0,0,0,0,0,0,0,0,0,0,0,-0.294097,0.475049,14,14
2026-07-01,Tantangan,1206315000,3.960000,0.000000,25.550000,0.068308,0.164000,13,0,0,0,0,0,0,0,0,0,0,0,-2.467146,-1.628632,13,13
2026-07-01,Tupi,1206317000,19.716000,0.000000,65.550000,0.028000,0.176000,15,0,0,0,0,0,0,0,0,1,0,0,0.628095,2.776733,15,15
2026-08-01,Banga,1206302000,27.868000,0.000000,96.325000,0.175273,0.292000,22,0,0,0,0,0,0,0,0,0,0,0,0.093121,2.082413,22,22
2026-08-01,City of Koronadal,1206306000,8.352000,0.000000,53.550000,0.059852,0.120000,27,0,0,0,0,0,0,0,0,0,0,0,-2.846643,-1.528186,27,27
2026-08-01,Lake Sebu,1206319000,20.116000,0.000000,70.650000,0.256000,0.364000,14,5,0,0,0,0,0,0,0,0,0,0,-0.229478,1.982831,19,19
2026-08-01,Norala,1206311000,16.444000,0.000000,55.775000,0.106571,0.152000,14,0,0,0,0,0,0,0,0,0,0,0,-0.240035,0.241964,14,14
2026-08-01,Polomolok,1206312000,53.780000,2.000000,152.875000,0.313565,0.428000,9,14,0,0,7,0,0,7,1,8,1,0,3.483621,7.069874,23,23
2026-08-01,Santo Niño,1206318000,12.708000,0.000000,43.325000,0.169600,0.276000,10,0,0,0,0,0,0,0,0,0,0,0,0.140798,0.439618,10,10
2026-08-01,Surallah,1206313000,37.568000,0.000000,109.100000,0.141176,0.208000,17,0,0,0,0,0,0,0,0,6,0,0,2.350148,3.386846,17,17
2026-08-01,T'Boli,1206316000,29.100000,0.000000,98.100000,0.267520,0.380000,13,12,0,0,0,0,0,0,0,0,0,0,-0.079753,1.457969,25,25
2026-08-01,Tampakan,1206314000,16.520000,0.000000,56.000000,0.157714,0.252000,14,0,0,0,0,0,0,0,0,0,0,0,-0.338399,0.239691,14,14
2026-08-01,Tantangan,1206315000,4.308000,0.000000,26.775000,0.079692,0.160000,13,0,0,0,0,0,0,0,0,0,0,0,-2.394156,-1.612349,13,13
2026-08-01,Tupi,1206317000,19.124000,0.000000,64.100000,0.022133,0.148000,15,0,0,0,0,0,0,0,0,1,0,0,0.513692,2.661665,15,15
2026-09-01,Banga,1206302000,28.620000,0.000000,96.325000,0.184364,0.308000,21,1,0,0,0,0,0,0,0,0,0,0,0.234982,2.042738,22,22
2026-09-01,City of Koronadal,1206306000,8.332000,0.000000,51.550000,0.059852,0.112000,27,0,0,0,0,0,0,0,0,0,0,0,-2.854176,-1.383794,27,27
2026-09-01,Lake Sebu,1206319000,20.188000,0.000000,69.100000,0.259368,0.340000,15,4,0,0,0,0,0,0,0,0,0,0,-0.248768,1.712794,19,19
2026-09-01,Norala,1206311000,16.224000,0.000000,58.100000,0.108000,0.176000,14,0,0,0,0,0,0,0,0,0,0,0,-0.297728,0.187841,14,14
2026-09-01,Polomolok,1206312000,53.624000,2.000000,152.325000,0.309217,0.404000,10,13,0,0,9,0,0,9,1,9,3,0,3.456989,7.218361,23,23
2026-09-01,Santo Niño,1206318000,12.648000,0.000000,41.775000,0.170400,0.312000,9,1,0,0,0,0,0,0,0,0,0,0,0.130268,0.504498,10,10
2026-09-01,Surallah,1206313000,37.764000,0.000000,104.325000,0.143765,0.212000,17,0,0,0,8,0,0,8,1,10,8,0,2.395734,3.414276,17,17
2026-09-01,T'Boli,1206316000,28.812000,0.000000,103.100000,0.265920,0.340000,14,11,0,0,0,0,0,0,0,0,0,0,-0.138024,1.456134,25,25
2026-09-01,Tampakan,1206314000,16.144000,0.000000,56.550000,0.160000,0.288000,14,0,0,0,0,0,0,0,0,0,0,0,-0.434779,0.107287,14,14
